Ingrediet Name,Ingredient Parent Name
Pure ghee,Ghee
Garlic crushed,Crushed
Potatoes,Potato
Cornflour,Cornflour
Fresh mint leaves chopped,Mint
Green chilli, chilli
Black cardamoms,Cardamom
brown sugar/jaggery,Sugarjaggery
Yogurt whisked,Whisked
Fresh coconut scraped,Scraped
Iceberg lettuce leaves,Lettuce
Split black gram skinless (dhuli urad dal),Split
Crushed red chillies,Crushed
Salt to taste,Salt
Star anise,Anise
Onion seeds (kalonji),Kalonji
Buttermilk,Buttermilk
Garlic cloves finely chopped,Clove
Dark soy sauce,Sauce
Tomato chopped,Tomato 
Cooked rice,Cooked
Green chilli chopped, chilli 
Red chilli paste,Paste
Lemon wedges,Wedge
Dried mango powder,Mango
Tomato finely chopped,Tomato
White bread slices,Slice
Carrot grated,Grated
Tomatoes finely chopped,Tomato
Semolina (rawa/suji),Rawasuji
Almonds chopped,Almond 
Chicken mince,Mince
Kashmiri red chilli powder,Chilli
Cream cheese,Cheese
Medium onion finely chopped,Onion
Sesame oil (til oil),Oil
Pistachios chopped,Pistachio 
Whole dry red chillies,Chilli
Lemons,Lemon
Fresh yeast,Yeast
Dried mixed herbs,Herb
Caraway seeds (shahi jeera),Caraway
Ginger grated,Grated
Vanilla ice cream,Cream
Dried mango powder (amchur),Amchur
Poppy seeds (khuskhus/posto),Khuskhusposto
Cherry tomatoes,Tomato
Strawberries,Strawberry
Cashewnuts chopped,Cashewnuts 
Boneless chicken breasts,Breast
Bean sprouts,Sprout
Mustard paste,Paste
Roasted peanuts,Peanut
Coconut oil,Oil
Green chilli finely chopped,Chilli
Desiccated coconut,Coconut
Schezwan chutney,Chutney
Split Bengal gram (chana dal),Split
Onion  chopped,Onion 
Green capsicum finely chopped,Capsicum
Brown bread slices,Slice
Basil leaves,Basil 
Melted butter,Butter
Fish sauce,Sauce
Milk powder,Milk 
coriander leaves chopped,Coriander  
Rice soaked,Soaked
Ginger roughly chopped,Ginger
Noodles boiled,Boiled
Dry mango powder (amchur),Amchur
"Potatoes boiled, peeled and mashed",Peeled
Sesame seeds (til),Til
Cabbage shredded,Shded
Spring onions with greens,Onion
Rose water,Water
White sesame seeds,Sesame
Rock salt (sendha namak),Sendha
Chocolate chips,Chip
Parmesan cheese powder,Cheese
Corn kernels boiled,Boiled
Oyster sauce,Sauce
Fresh coriander sprig,Sprig
Fresh parsley,Parsley
Paprika,Paprika
Processed cheese,Cheese
coriander sprig,Sprig
Sweet chilli sauce,Sauce
Softened butter,Butter
Oats,Oat
Cottage Cheese,Cheese
Walnuts chopped,Walnut 
Black cardamom,Cardamom
Spring onion greens,Onion
Cornstarch,Cornstarch
Semolina,Semolina
Corn kernels,Kernel
Onion rings,Ring
Ginger-green chilli paste,Paste
Dark chocolate chopped,Chocolate
Cashewnut paste,Paste
Tamarind paste,Paste
Cheese grated,Grated
Mint leaves,Mint 
Paneer (cottage cheese),Cheese
Pistachios,Pistachio
Cucumber,Cucumber
Mozzarella cheese,Cheese
Paneer (cottage cheese) grated,Cheese
Potatoes boiled and peeled,Boiled
Paprika powder,Paprika 
Button mushrooms sliced,Sliced
Parmesan cheese grated,Grated
Dried oregano,Oregano
Butter melted,Melted
Parsley,Parsley
Fresh red chillies,Chilli
Egg yolks,Yolk
Orange Juice,Juice
Yellow capsicum,Capsicum
Light soy sauce,Sauce
MSG,Msg
Apple,Apple
Fresh tomato puree,Puree
Green peas blanched,Blanched
Dried fenugreek leaves (kasoori methi),Methi
Green chilli sauce,Sauce
Celery chopped,Celery 
Ginger cut into thin strips,Ginger
Split skinless black gram (dhuli urad dal),Split
Garlic minced,Minced
Worcestershire sauce,Sauce
Sugar syrup,Syrup
Spinach,Spinach
Tomato concasse,Concasse
Fresh thyme,Thyme
Banana,Banana
Fresh parsley sprigs,Sprig
Cheese slices,Slice
Spinach puree,Puree
Green chillies roughly chopped,Chilli
Malt vinegar,Vinegar
Fresh thyme sprigs,Sprig
Apples,Apple
Oil 1 tablespoon +,Tablespoon
Peanuts,Peanut
Cinnamon sticks,Stick
Cherry tomatoes halved,Halved
Almonds slivered,Slive
Asafoetida (hing),Hing
Mutton mince (keema),Keema
Whole wheat flour,Flour
Bread Slices,Slice
Khoya/mawa,Khoyamawa
Green capsicum chopped, capsicum 
Pav bhaji masala,Masala
Celery finely chopped,Celery
Sev,Sev
Fresh red chilli,Chilli
Green cardamom, cardamom
Spring onion bulbs,Bulb
Black salt,Salt
White chocolate chopped,Chocolate
Chocolate sauce,Sauce
Spring onions chopped,Onion
Chicken,Chicken
Gram Flour,Flour
Cornflour slurry,Slurry
Balsamic vinegar,Vinegar
Cheddar cheese grated,Grated
Spaghetti,Spaghetti
Thyme,Thyme
Prawns shelled and deveined,Prawn
Lemon slices,Slice
Spring onion greens finely chopped,Onion
Thick yogurt,Yogurt
White wine,Wine
Mixed herbs,Herb
Scraped fresh coconut,Scraped
Khoya/mawa grated,Grated
Schezwan Chutney,Chutney
Prawns (medium) shelled and deveined,Medium
Green peas boiled,Boiled
Spring onions,Onion
Carrots,Carrot
Rosemary,Rosemary
Button mushrooms,Mushroom
Potatoes boiled and mashed,Potato
Fish,Fish
Kaffir lime leaves,Lime
Carrots grated,Grated
Whole Wheat Flour,Flour
Gram flour,Flour
Instant coffee powder,Coffee
Mace,Mace
Silver warq,Warq
Green chillies broken,Broken
For garnishing,For
Dry ginger powder (soonth),Soonth
Cinnamon stick,Stick
Garlic Powder,Garlic 
Sour cream,Cream
Walnuts,Walnut
Fresh pomegranate pearls,Pearl
Carrot,Carrot
Scraped coconut fresh,Scraped
Soft brown sugar,Sugar
Egg whites,White
Dark chocolate,Chocolate
Curry powder,Curry 
Gelatin,Gelatin
Saffron,Saffron
Drinking soda,Drinking
Apple juice,Juice
Fried onions,Onion
Shallots,Shallot
Mustard powder,Mustard 
Fresh coriander chopped,Coriander
Basmati rice soaked,Soaked
Prawns,Prawn
Tamarind,Tamarind
Black olives sliced,Sliced
Tabasco sauce,Sauce
Split Bengal Gram soaked,Split
Fennel seed (saunf) powder,Saunf
Almonds blanched and peeled,Blanched
Orange,Orange
Pizza sauce,Sauce
Green Peas blanched,Blanched
Basmati Rice soaked,Soaked
Cauliflower,Cauliflower
Ginger sliced,Sliced
Bhuna masala,Masala
White sauce,Sauce
Ginger-garlic-green chilli paste,Paste
Egg yolk,Yolk
Vegetables,Vegetable
Jaggery (gur),Gur
Cauliflower grated,Grated
Tomato sauce,Sauce
Pistachio,Pistachio
Fresh coriander leaves roughly chopped,Coriander
Eggs beaten,Beaten
Medium tomato finely chopped,Tomato
Stuffing,Stuffing
Onion powder,Onion 
Cauliflower florets,Floret
Saffron (kesar) few strands,Kesar
Dark chocolate grated,Grated
Tamarind chutney,Chutney
Walnut chopped,Walnut 
Lettuce leaves,Lettuce 
French bean strips,Strip
Vegeatbles,Vegeatbles
A few drops of vanilla essence,Drop
Few thin strips of green capsicum,Strip
Pumpkin seeds,Pumpkin 
Apples chopped,Apple 
Brinjals,Brinjal
Button mushrooms quartered,Quarte
Peanut butter,Butter
Cumin powder roasted,Roasted
Roasted peanuts crushed,Crushed
Dried ginger powder (soonth),Soonth
Onion roughly chopped,Onion
White Bread Slices,Slice
Dried breadcrumbs,Breadcrumb
Skimmed milk,Skimmed
oil,Oil
Cashewnuts roughly chopped,Cashewnuts
Cottage cheese (paneer),Paneer
Dried red chillies  broken,Broken
Kokum petals,Petal
Unsalted butter,Butter
Pomfret,Pomfret
Maple syrup,Syrup
saffron strands,Strand
Medium onions,Onion
Extra-virgin olive oil,Oil
Medium onions finely chopped,Onion
"Potatoes boiled, peeled and grated",Peeled
Burger buns,Bun
Rose syrup,Syrup
Basmati Rice,Rice
Green peas shelled,Shelled
Chocolate,Chocolate
Thai red curry paste,Paste
Iceberg lettuce,Lettuce
Butter softened,Softened
Tortillas,Tortilla
Fresh coriander leaves  chopped,Coriander
Pomegranate pearls,Pearl
Cheese spread,Spread
Large onion finely chopped,Onion
Polenta,Polenta
Tomatoes pureed,Pureed
Egg white,White
French beans finely chopped,Bean
Amchur powder,Amchur 
A few thin strips of red capsicum,Strip
Dried coconut ( khopra) grated,Grated
Dark chocolate melted,Melted
Pesto sauce,Sauce
Saffron strands,Strand
Sesame oil,Oil
Rose petals,Petal
Split Bengal gram (chana dal) soaked,Soaked
Water,Water
Mustard sauce,Sauce
Onion  sliced,Sliced
Spring onions with greens chopped,Onion
Parsley sprigs,Sprig
Pineapple,Pineapple
Clove powder,Clove 
Kewra water,Water
Sour yogurt,Yogurt
Red chilli powder (deghi mirch),Chilli
Onion  finely chopped,Onion
Granulated sugar,Sugar
Peaches,Peach
Parmesan cheese,Cheese
Broccoli,Broccoli
Spring onion greens sliced,Sliced
Jaggery grated,Grated
Cabbage,Cabbage
Strawberry crush,Crush
Pavs,Pavs
Fresh breadcrumbs,Breadcrumb
Fresh rosemary,Rosemary
Boneless chicken cut into cubes,Chicken
Carrot peeled,Peeled
Medium onion chopped,Onion
Coconut,Coconut
Oil 1 tablespoon,Tablespoon
Strawberries chopped,Strawberry 
Green capsicum cut into thin strips,Capsicum
Bread slices,Slice
Thick coconut milk,Milk
Fresh coconut grated,Grated
Liquid glucose,Glucose
Egg beaten,Beaten
Lemon rind,Rind
Spring onion bulbs chopped,Bulb
Buns,Bun
Vermicelli,Vermicelli
Medium onions sliced,Sliced
Penne pasta boiled,Boiled
Pistachios slivered,Slive
Spinach shredded,Shded
Raw peanuts,Peanut
Whole dry red chilli,Chilli
Peanuts roasted and crushed,Roasted
Rolled oats,Rolled
Green capsicum diced,Diced
Fresh bread crumbs,Crumb
Mushrooms,Mushroom
English mustard paste,Paste
Sunflower seeds (charoli/chironji),Charolichironji
Fresh fenugreek leaves (methi) chopped,Fenugreek
Chicken Mince,Mince
Red capsicum chopped, capsicum 
Spring onion with greens,Onion
French beans,Bean
Lemon juice of ½ lemon,Juice
Breadcrumbs,Breadcrumb
Mawa (khoya),Khoya
Feta cheese,Cheese
Medium tomatoes finely chopped,Tomato
Fresh oregano,Oregano
Pine nuts(chilgoza),Chilgoza
Fresh parsley finely chopped,Parsley
Medium onion,Onion
Fresh red chillies chopped,Chilli
milk,Milk
Curry leaves chopped,Curry  
Goda masala,Masala
salt to taste,Salt
Ginger peeled,Peeled
Tomatoes sliced,Sliced
Ginger cut into juliennes,Ginger
Filling,Filling
White vinegar,Vinegar
Red capsicum finely chopped,Capsicum
Processed Cheese,Cheese
Processed Cheese grated,Grated
Boneless chicken breast,Breast
Chana masala,Masala
Spring onion bulbs sliced,Sliced
Schezwan sauce,Sauce
Basmati rice,Rice
Mawa (khoya) grated,Grated
French beans chopped,Bean
Potatoes peeled,Peeled
Coconut chutney,Chutney
Black grapes,Grape
red chilli powder, chilli 
Almonds crushed,Crushed
Dried pomegranate seeds (anardana),Anardana
Red chillies crushed,Crushed
Ginger  cut into thin strips,Ginger
Skimmed milk yogurt,Skimmed
Corn niblets,Niblets
Crushed ice,Ice
Button Mushrooms,Mushroom
Black peppercorns freshly crushed,Crushed
Dried thyme,Thyme
Micro greens,Micro 
Potato,Potato
Mint chutney,Chutney
Onions roughly chopped,Onion
Rabdi,Rabdi
Mutton Mince,Mince
Basmati rice soaked and drained,Soaked
Ginger strips,Strip
Dried rose petals,Petal
Peppercorns,Peppercorn
Chicken sausages,Sausage
Lemon zest grated,Grated
Garlic cloves crushed,Crushed
Carrot finely chopped,Carrot
Aluminium foil,Foil
coriander leaves,Coriander 
Green capsicum cut into 1 inch pieces,Capsicum
Corn flakes,Flake
Lemon rind grated,Rind
Sesame seeds (til) toasted,Til
Red wine vinegar,Vinegar
Basmati rice cooked,Cooked
Chilli sauce,Sauce
Fresh parsley sprig,Sprig
Vanilla icecream,Icecream
Dates pitted and chopped,Date
Digestive biscuits,Biscuit
Red wine, wine
asafoetida,Asafoetida
Dark chocolate chips,Chip
Spinach leaves blanched and chopped,Spinach
Parsley chopped,Parsley 
Coffee powder,Coffee 
Sweet tamarind chutney,Chutney
Pineapple slices,Slice
Babycorns,Babycorns
Cabbage finely chopped,Cabbage
Cucumber peeled,Peeled
Feta cheese crumbled,Crumbled
Fresh mint sprig,Sprig
Cauliflower separated into florets,Separated
Dried red chilli,Dried
Split pigeon pea (toor dal/arhar dal),Split
Semolina (suji),Suji
Almonds blanched and slivered,Blanched
Pistachios blanched and slivered,Blanched
Jalapeno finely chopped,Jalapeno
Dried apricots chopped,Apricot
Macaroni boiled,Boiled
Broccoli separated into florets,Separated
Spinach blanched,Blanched
Reduced milk,Milk
Canned pineapple chopped,Pineapple
Pressed rice (poha),Poha
Snow peas,Pea
Nutralite,Nutralite
Potatoes cubed,Cubed
For sauce,For
Coconut Milk,Milk
Sweet date and tamarind chutney,Date
Tea leaves,Tea 
turmeric powder,Turmeric 
Pineapple juice,Juice
Split green gram skinless (dhuli moong dal),Split
Peppercorns crushed,Crushed
Cottage cheese,Cheese
Spinach chopped,Spinach 
Cashewnut powder,Cashewnut 
Coffee decoction,Decoction
Cottage cheese (paneer) grated,Grated
Green chilli slit,Slit
Cashewnuts halved,Halved
FOR SAUCE,For
Lemon zest,Zest
Lemon grass,Grass
Red chillies fresh,Chilli
Arborio rice,Rice
King Fish,Fish
Melon seeds (magaz),Magaz
Celery,Celery
Mushroom sliced,Sliced
Nutmeg grated,Grated
Hazelnuts,Hazelnut
Fresh mint leaves finely chopped,Mint
Green garlic stalks,Stalk
Bread crumbs dried,Dried
Mango pulp,Pulp
All spice powder,Spice
Spring onions sliced,Sliced
Khoya,Khoya
Mixed dried herbs,Herb
A few fresh coriander sprigs,Sprig
Spinach leaves (palak),Spinach
Coconut cream,Cream
Dessicated Coconut,Coconut
Coriander seeds crushed,Crushed
Garlic roasted and finely chopped,Roasted
Cheese,Cheese
Curly parsley sprigs,Sprig
Orange segments,Segment
Bananas,Banana
Rice cooked,Cooked
Juice of ¼ lemon,Juice
Red chilli fresh,Chilli
Tomato sliced,Sliced
Gulkand,Gulkand
chopped walnuts, walnut
Onion paste,Paste
Mango puree,Puree
Almonds sliced,Sliced
Spring onion greens  cut into thin strips,Onion
Garlic sliced,Sliced
Clove,Clove
Toasted rolled oats,Oat
Cashewnuts broken,Broken
Wholewheat Flour,Flour
Whole Chicken with Skin with skin,Chicken
Whole strawberries,Strawberry
Lotus Leaves,Lotus 
Grated khoya/mawa,Khoyamawa
Pistachios blanched peeled and thinly  sliced,Peeled
Flaked almonds,Almond
Mace powder,Mace 
Tahini,Tahini
Basa Fish Fillet,Fillet
Sweet corn kernels boiled,Boiled
Fennel seeds,Fennel 
Carrot cubed,Cubed
Potatoes bolied 1/2 inch cubes,Bolied
Spinach blanched and chopped,Blanched
Corn Niblets,Niblets
Seedless dates,Date
Green olives sliced,Sliced
Cooked brown rice,Rice
Onion  roasted and finely chopped,Roasted
A little olive oil to drizzle,Oil
Quinoa,Quinoa
Mawa grated,Grated
Hard-boiled eggs  peeled,Peeled
Ripe bananas,Banana
Cornmeal,Cornmeal
Citric acid,Acid
Spring onion bulbs finely chopped,Bulb
Red capsicum cut into thin strips,Capsicum
Boondi,Boondi
butter,Butter
Caraway seed (shahi jeera) powder,Caraway
Date and tamarind chutney,Date
Mascarpone cheese,Cheese
Sichuan sauce,Sauce
Mixed nuts chopped,Nut
Oregano,Oregano
Satay sticks,Stick
Onions thinly sliced,Onion
Pistachios finely chopped,Pistachio
Sweet red chilli sauce,Sauce
White Chocolate,Chocolate
Potatoes boiled peeled and mashed,Peeled
Spaghetti boiled,Boiled
Sweet condensed milk,Milk
Onions grated,Grated
Yeast,Yeast
Soya Granules soaked and drained,Soaked
White sesame seeds (safed til),Safed
Potato cubed,Cubed
Orange marmalade,Marmalade
Fresh mint leaves torn,Torn
Dry coconut (khopra) grated,Grated
"Medium potatoes boiled, peeled and mashed",Peeled
"Broccoli florets, blanched",Blanched
Sesame seeds (black),Black
Chenna,Chenna
Potato boiled and peeled,Boiled
Potatoes boiled and grated,Potato
Desi ghee,Ghee
Broccoli florets,Floret
Tomatoes quartered,Quarte
For syrup,For
Noodles,Noodle
Rice Flour,Flour
Lemon Juice,Juice
Nylon sev,Sev
For dressing,For
Almond powder,Almond 
Garam masala,Masala
Tofu,Tofu
Steamed rice,Rice
Black olives,Olive
Roasted cumin seeds,Cumin
Browned Onions,Onion
Light green chillies,Light
Coriander-cumin powder,Coriandercumin 
Rice boiled,Boiled
Grated zest of 1 orange,Zest
Medium onion sliced,Sliced
Tender coconut flesh,Flesh
Baby spinach leaves,Spinach
Red Kidney Beans,Bean
Oranges,Orange
Chilli oil,Oil
Lemon grass stalk,Stalk
Lemon cut into wedges,Lemon
Hot black bean sauce,Sauce
Pinenuts,Pinenuts
Garlic roughly chopped,Garlic
Almonds finely chopped,Almond
Medium potatoes boiled and peeled,Potato
Red Pumpkin cubed,Cubed
Red curry paste,Paste
Tomatoes roughly chopped,Tomato
Chicken breast boneless,Boneless
Raw Bananas boiled,Boiled
Black carrots (kale gajar),Gajar
Brinjal,Brinjal
Red Onion Peels,Peel
Garlic powder,Garlic 
Black Eyed Beans soaked,Soaked
A sprig of fresh parsley,Sprig
Jaggery chopped,Jaggery 
Cabbage grated,Grated
Crushed black peppercorns to taste,Peppercorn
Blue curacao syrup,Syrup
A few fresh coriander leaf sprigs,Coriander
Carrot cut into thin strips,Carrot
Gram flour (besan) roasted,Roasted
sugar,Sugar
Cherry tomatoes soaked & halved,Soaked
Boneless chicken cut into 1 inch pieces,Chicken
Dried figs  chopped,Fig
Green Peas Peel,Peel
Mustard seeds coarsely powdered,Mustard
Green garlic stalks only,Stalk
Pistachios sliced,Sliced
Almonds  slivered,Slive
Coarse red chilli powder,Coarse
Sago (sabudana) soaked for 3-4 hours,Soaked
Onion flower,Flower
Split Skinless Green Gram soaked,Split
Potatoes boiled,Boiled
Roasted peanuts  crushed,Crushed
Bacon  shelled and deveined,Shelled
garlic finely chopped,Garlic
French fries,Fry
To Serve,Serve
Black Eyed Beans soaked overnight,Soaked
Sprig rosemary,Rosemary
Surmai 2 inch pieces,Surmai  
black sesame seeds (kale til),Til
Fried cashewnuts,Cashewnuts
Hoisin sauce,Sauce
Grated zest of 2 lemons,Zest
Medium ash gourd (petha),Petha
shallots peeled,Peeled
A curly parsley sprig,Sprig
Lemon wedge,Wedge
Chocolate chopped,Chocolate 
Garlic  finely chopped,Garlic
Dressing,Dressing
Cherries,Cherry
Dark chocolate roughly chopped,Chocolate
Almonds roasted and slivered,Roasted
For masala,For
Banana leaves,Banana 
cumin seeds,Cumin 
Chole masala,Masala
Green capsicums, capsicum
Small buns,Bun
Green olives with seeds,Olive
Curry Leaves,Curry 
Cooked Thai Rice,Rice
Grated cheese,Cheese
Rose essence,Essence
Refined flour slurry,Slurry
Ginger minced,Minced
Lemon grass root,Root
Green Peas, pea
Prunes  chopped,Prune 
Boneless Chicken,Chicken
Walnut kernels,Kernel
Chicken drumsticks,Drumstick
Tea bags,Bag
Papad,Papad
Medium onions chopped,Onion
Spring Onions,Onion
Chana dal roasted,Roasted
"A few leaves of mixed lettuce (romaine, lollo rosso, iceberg)",Few
Prawn peeled,Peeled
Hung Yogurt,Yogurt
Couscous,Couscous
Pistachios roasted and slivered,Roasted
Sugar Free Natura Diet Sugar,Sugar
Packet of instant hot and sour soup powder,Packet
Pineapple chopped,Pineapple 
Rice Criapies chopped,Criapies
Brown bread,Bread
Pomegranate seeds (anardana),Pomegranate
Oil 2 tablespoons +,Tablespoon
Walnuts finely chopped,Walnut
Fresh basil leaves torn,Torn
Fresh coriander,Coriander
Chcken cut into 12 pieces on the bone,Chcken
Mushrooms sliced,Sliced
Thai green curry paste,Paste
Garlic peeled,Peeled
Avocado,Avocado
Rice soaked and drained,Soaked
Peaches halves,Half
refined flour,Flour
Whole dry red chillies broken,Broken
Boneless chicken cut into thin strips,Chicken
Grapes,Grape
Cheddar cheese,Cheese
FOR FILLING,For
For filling,For
Fresh mint leaves roughly chopped,Mint
Asparagus,Asparagus
White butter,Butter
Brown Bread Slices,Slice
Black olives pitted,Pitted
Chickpeas (kabuli chana) boiled,Boiled
Lettuce,Lettuce
Mushrooms chopped,Mushroom 
Spring onion bulb,Bulb
Blueberries,Blueberry
Green grapes, grape
Dates chopped,Date 
Prunes,Prune
White bread slices soaked,Soaked
Sauce,Sauce
Raw Banana boiled with skin,Banana
Yellow capsicum chopped,Capsicum
A few thin strips of green capsicum,Strip
Button mushrooms halved,Halved
Fish stock,Stock
Dry oregano,Oregano
Bread,Bread
Broccoli blanched,Blanched
Ginger crushed,Crushed
Shelled green peas,Shelled
Green chillies sliced,Sliced
Large onion sliced,Sliced
Cornflakes,Cornflakes
Sambhar powder,Sambhar 
Fresh red chillies sliced,Sliced
Refined flour (maida) 1 cup,Maida
For stuffing,For
Green amaranth (chavli),Chavli
Carrot chopped,Carrot 
Blueberry jam,Jam
Pav,Pav
curry leaves broken,Broken
Thyme sprigs,Sprig
Strawberries 20-24 large,Strawberry
Chironji,Chironji
Prawns (kolambi/jhinga) shelled and deveined,Shelled
Boneless chicken,Chicken
Cooked Rice,Cooked
Black peppercorns freshly ground,Ground
Split skinless black gram (dhuli urad  dal),Split
Warm milk,Milk
For gravy,For
Peanuts roasted,Roasted
Red bell pepper,Pepper
White sesame seeds toasted,Toasted
TO SERVE,Serve
Nutmeg (jaiphal) powder,Jaiphal
Green capsicum cut into strips,Capsicum
For paste,For
Boneless chicken cut into strips,Chicken
Whipping cream,Whipping
Onion thinly sliced,Onion
Paneer,Paneer
Panch phoran,Phoran
Yellow capsicum finely chopped,Capsicum
Juice of 2 lemons,Juice
fresh coriander leaves chopped,Coriander
Chutney,Chutney
Cauliflower cut into florets,Cauliflower
Oil for deep frying,Oil
Chicken wings,Wing
Jalapeno chopped,Jalapeno 
Carrots chopped,Carrot 
Roasted chana dal (dalia),Dalia
Poppy seeds (khuskhus),Poppy
A few sprigs of fresh coriander leaves,Sprig
Split Bengal Gram,Split
Baby potatoes,Potato
Dijon mustard,Mustard
Red capsicum diced,Diced
Medium green capsicum,Medium
Garlic cloves minced,Minced
Thin coconut milk,Milk
Cauliflower cut into medium-sized florets,Cauliflower
Clarified butter,Clarified
Spring onion greens diagonally sliced,Onion
Cashewnuts crushed,Crushed
Alfalfa sprouts,Sprout
Fennel (saunf) powder,Saunf
Oil 2 tablespoons,Tablespoon
green chillies chopped, chilli 
Palm sugar,Sugar
Cooked basmati rice,Cooked
Salsa,Salsa
Chicken boiled and shredded,Boiled
Cabbage leaves,Cabbage 
Cabbage chopped,Cabbage 
Cottage Cheese grated,Grated
Iceberg lettuce shredded,Shded
Fruit salt,Salt
Lamb mince,Mince
Orange rind,Rind
Moong sprouts,Sprout
Browned onion paste,Paste
Refined oil,Oil
Red apple, apple
Vanilla pod,Pod
Puff pastry dough,Dough
Roasted chana dal powder,Roasted
Fresh red chillies diagonally sliced,Sliced
Paprika smoked,Smoked
Dark Chocolate,Chocolate
Almond slivers,Sliver
Dried basil,Basil
White wine vinegar,Vinegar
Green olives, olive
Cumin seeds (jeera),Jeera
Pita breads,Bread
Fresh oregano sprigs,Sprig
For tempering,For
Mutton mince,Mince
Cumin seeds roasted,Roasted
Sweet corn kernels,Kernel
Scraped Coconut,Scraped
Rice vinegar,Vinegar
Prawns (kolambi/jhinga),Kolambijhinga
Garlic cloves sliced,Sliced
Flax seeds,Flax 
Mixed herbs dried,Dried
Double cream,Cream
Cashewnuts soaked,Soaked
Sugar Free,Free
Pickled jalapenos,Jalapeno
Black olives pitted and sliced,Pitted
Milk chilled,Chilled
Dark Chocolate chopped,Chocolate
salt,Salt
Fresh coriander stems,Stem
Oatmeal,Oatmeal
Pistachio powder,Pistachio 
Wonton sheets,Sheet
Pak choy,Choy
Stone flower (dagad phool),Phool
A few iceberg lettuce leaves,Lettuce
Dates,Date
Baked beans,Bean
Spinach leaves (palak) shredded,Shded
Frozen green peas,Pea
Corn Kernels,Kernel
Almond essence,Essence
Jalapenos chopped,Jalapeno 
Green olives pitted,Pitted
Walnuts toasted,Toasted
Sugar powdered,Ed
Sugar Free Natura,Natura
Tomato ketchup to serve,Ketchup
Boneless chicken cut into 1 inch cubes,Chicken
Kiwi,Kiwi
Chicken cut into strips,Chicken
Split green gram skinless (dhuli moong dal) soaked,Dal
Spring onions with greens finely chopped,Onion
